Ligand_ID,Mean_Affinity,Time
DB03044,-9.51,23.0170114
DB06448,-9.5,24.07520247
DB18034,-9.5,18.64834881
DB00549,-9.5,27.03661489
DB01698,-9.5,26.72518945
DB00444,-9.49,29.66829419
DB15308,-9.49,17.45962191
DB06350,-9.48,25.56240892
DB04099,-9.47,32.4350028
DB02717,-9.47,37.91875386
DB03583,-9.47,18.20557857
DB12742,-9.47,19.25476193
DB13061,-9.47,20.24069357
DB12523,-9.47,19.7800405
DB13029,-9.47,17.98290157
DB16253,-9.46,19.0274334
DB14128,-9.46,32.79890299
DB13109,-9.46,19.48628926
DB12996,-9.44,27.05872178
DB14850,-9.44,25.47659445
DB15291,-9.44,22.85557222
DB08164,-9.44,21.57914305
DB07789,-9.44,20.76583481
DB02651,-9.43,28.3282218
DB12843,-9.43,17.9649024
DB11829,-9.43,17.27690244
DB17166,-9.43,18.55738997
DB16120,-9.43,19.57522297
DB01167,-9.43,29.0089252
DB18033,-9.42,16.06211352
DB02547,-9.42,31.33643413
DB07605,-9.42,20.30831313
DB03363,-9.42,31.14613438
DB18057,-9.42,20.10489154
DB17030,-9.41,22.94368267
DB12134,-9.41,19.37510324
DB18025,-9.41,22.44570708
DB01753,-9.4,31.6122942
DB15435,-9.4,21.40032125
DB15169,-9.4,24.53607488
DB17549,-9.4,24.7029891
DB15943,-9.4,24.75589752
DB06263,-9.39,20.3939395
DB06240,-9.39,24.13702416
DB12052,-9.39,25.06380534
DB12222,-9.39,18.55582786
DB01251,-9.39,28.59051347
DB01761,-9.39,20.63198543
DB02732,-9.39,38.5565002
DB06634,-9.39,29.37751293
DB06515,-9.39,22.06934071
DB01763,-9.39,34.77624154
DB09050,-9.38,34.18099761
DB18245,-9.38,25.62296319
DB16191,-9.38,17.92550468
DB08911,-9.37,28.91927838
DB00773,-9.37,24.91237164
DB12165,-9.37,25.09595203
DB16256,-9.37,23.53267717
DB06080,-9.37,17.81961226
DB15009,-9.37,18.99599051
DB15343,-9.37,19.8399086
DB13941,-9.37,25.63409162
DB06455,-9.36,26.4823184
DB07514,-9.36,18.20044851
DB11778,-9.36,17.6768229
DB12960,-9.36,20.20279455
DB08901,-9.36,24.63674664
DB16033,-9.36,19.66271901
DB18051,-9.36,16.93260431
DB16859,-9.36,25.54425764
DB15327,-9.36,21.5721283
DB14675,-9.36,20.8712604
DB12127,-9.34,22.57922482
DB16244,-9.34,21.90104961
DB03326,-9.33,25.06703329
DB03957,-9.33,24.31678367
DB13643,-9.33,17.55025959
DB15919,-9.33,34.18906546
DB04131,-9.33,19.11350822
DB13040,-9.32,22.58716989
DB07845,-9.32,21.95566678
DB08010,-9.32,20.15684271
DB06925,-9.31,18.44032931
DB13104,-9.31,22.42285228
DB12282,-9.31,20.98969746
DB13607,-9.31,18.06656432
DB00288,-9.31,21.84246111
DB01876,-9.31,17.2450943
DB01199,-9.31,22.98432755
DB18095,-9.31,20.41527915
DB04514,-9.31,27.6946075
DB01267,-9.31,29.52718186
DB15345,-9.3,20.09100604
DB03907,-9.3,23.8427527
DB07326,-9.3,20.03931451
DB17520,-9.3,18.56134367
DB11618,-9.29,25.82649231
DB12760,-9.29,23.1391046
DB14895,-9.29,23.08070445
DB16703,-9.29,19.72993302
DB15110,-9.29,22.4912982
DB15630,-9.29,18.5075233
DB03067,-9.29,23.888762
DB06896,-9.29,21.71677089
DB16038,-9.28,23.60504079
DB16218,-9.28,17.80061221
DB06469,-9.28,19.93215966
DB07456,-9.28,20.74016738
DB05490,-9.28,19.48602271
DB17525,-9.27,20.29765606
DB16766,-9.27,16.43186355
DB00997,-9.27,29.88573384
DB08349,-9.27,20.89221358
DB11577,-9.26,18.12073946
DB08487,-9.26,25.16823888
DB15011,-9.26,20.90914845
DB17754,-9.26,22.76079988
DB12138,-9.26,29.56125641
DB18062,-9.26,17.80605555
DB08091,-9.24,22.06827521
DB08815,-9.24,20.00242019
DB11822,-9.24,19.39704847
DB11966,-9.24,27.0101192
DB14866,-9.24,19.74323153
DB15269,-9.24,20.17042947
DB16406,-9.24,27.8440547
DB11582,-9.24,23.33136773
DB12185,-9.24,19.51109767
DB15028,-9.23,19.58311987
DB11832,-9.23,20.45290875
DB08366,-9.23,19.4697485
DB12247,-9.23,21.60849476
DB12116,-9.23,23.6329186
DB06409,-9.22,22.30428815
DB17269,-9.22,17.71192145
DB15675,-9.22,19.62614727
DB14676,-9.22,20.9934938
DB01661,-9.21,32.64937711
DB12128,-9.21,21.73630738
DB13240,-9.21,16.55901551
DB05678,-9.21,20.50260854
DB03104,-9.21,22.81453967
DB06212,-9.21,19.0255456
DB18070,-9.21,18.29335189
DB08450,-9.2,16.30670524
DB15401,-9.2,24.40548873
DB15102,-9.2,18.73832774
DB03447,-9.2,29.50001121
DB03076,-9.2,24.38209677
DB17247,-9.2,15.90555382
DB07041,-9.2,18.43183851
DB18152,-9.2,20.26931214
DB15133,-9.2,20.63502669
DB16305,-9.2,20.95369124
DB11694,-9.19,22.1452508
DB07142,-9.19,17.67115831
DB16637,-9.19,24.40563369
DB02555,-9.19,26.63768935
DB04301,-9.19,17.46773219
DB01089,-9.19,22.75422716
DB18080,-9.19,17.09176779
DB02723,-9.18,30.72477198
DB16138,-9.18,17.69914269
DB06938,-9.18,18.77799869
DB07405,-9.18,17.16549158
DB00157,-9.18,50.92787099
DB15403,-9.17,25.08436465
DB12054,-9.17,23.57583141
DB17059,-9.17,23.62487888
DB15006,-9.17,18.1358099
DB01047,-9.17,26.82248783
DB02338,-9.17,32.92484808
DB09319,-9.16,23.10902905
DB17383,-9.16,19.01522207
DB15297,-9.16,22.88193011
DB16081,-9.16,21.10010695
DB02152,-9.16,17.15323997
DB07254,-9.16,19.44045043
DB14894,-9.14,19.39809322
DB16227,-9.14,22.66172099
DB15190,-9.14,17.96238589
DB02336,-9.14,26.09514666
DB08407,-9.14,18.88468099
DB08406,-9.14,18.17504573
DB15791,-9.14,28.13624978
DB17568,-9.14,23.12765455
DB12336,-9.14,23.9127748
DB14840,-9.13,21.59342027
DB15245,-9.13,21.06573439
DB04881,-9.13,19.01170564
DB17041,-9.13,18.97573686
DB06817,-9.12,24.00760365
DB11791,-9.12,18.84177685
DB07666,-9.12,21.84129167
DB03893,-9.12,32.7435739
DB17584,-9.12,25.67033339
DB12036,-9.12,23.00800323
DB17139,-9.12,23.62029815
DB08875,-9.12,24.11646652
DB07406,-9.11,19.26779819
DB06435,-9.11,23.4003005
DB13093,-9.11,18.62217522
DB01180,-9.11,28.91440082
DB07220,-9.11,20.2585721
DB14770,-9.11,17.49428153
DB03213,-9.11,15.78882813
DB03642,-9.11,20.47883105
DB03300,-9.11,31.89335752
DB03038,-9.1,21.55316615
DB13682,-9.1,20.59981966
DB16834,-9.1,17.03365636
DB16053,-9.1,22.56033516
DB18578,-9.1,23.32813764
DB17113,-9.1,21.3547256
DB12665,-9.1,20.61482573
DB11526,-9.1,18.80232692
DB08520,-9.1,13.05667782
DB11363,-9.1,17.1155746
DB07186,-9.1,17.87296844
DB15583,-9.09,22.68814158
DB06011,-9.09,21.91227365
DB03325,-9.09,28.27166605
DB02629,-9.09,28.29048848
DB15685,-9.09,21.22499228
DB17506,-9.09,20.70438457
DB07189,-9.09,21.35710573
DB16252,-9.09,22.30846214
DB13060,-9.09,24.93093133
DB07247,-9.08,18.56743002
DB17018,-9.08,18.39919925
DB03591,-9.08,24.77455425
DB11697,-9.08,16.5410254
DB13874,-9.08,24.46430826
DB18479,-9.08,25.19032383
DB12307,-9.07,22.23456168
DB08058,-9.07,21.20406604
DB06494,-9.07,29.99012852
DB03495,-9.07,27.90034842
DB04285,-9.07,27.42179155
DB16874,-9.07,19.52610064
DB12904,-9.07,16.22836041
DB11637,-9.07,20.67837214
DB03712,-9.06,24.44569421
DB14017,-9.06,22.50249147
DB01212,-9.06,31.01626086
DB01419,-9.06,30.75786519
DB04609,-9.06,26.09691358
DB11369,-9.06,20.70077348
DB11562,-9.06,15.08242106
DB12382,-9.06,19.54879522
DB08237,-9.04,24.55266619
DB08418,-9.04,19.63062882
DB06888,-9.04,16.0673418
DB17079,-9.04,18.51030278
DB00673,-9.03,31.75621343
DB15273,-9.03,21.25660133
DB07994,-9.03,16.90283918
DB06827,-9.03,26.46487856
DB02573,-9.03,27.73537016
DB07020,-9.03,17.0874927
DB03797,-9.03,32.04391146
DB04724,-9.03,21.36648774
DB03768,-9.03,21.51752734
DB08730,-9.03,20.33806467
DB15254,-9.03,22.01747322
DB12694,-9.03,23.39478111
DB12012,-9.03,19.13508582
DB15047,-9.03,22.29734278
DB12676,-9.03,20.32833552
DB11892,-9.03,21.24577308
DB07359,-9.02,19.43957829
DB06976,-9.02,18.43806887
DB08738,-9.02,17.76275039
DB07765,-9.02,19.34703398
DB15126,-9.02,23.90032697
DB08674,-9.02,15.88526011
DB17159,-9.01,20.11407351
DB04696,-9.01,19.52108383
DB12854,-9.01,21.24482656
DB16758,-9.01,20.51499271
DB13019,-9.01,21.38825202
DB13074,-9.01,18.93334341
DB15039,-9.01,22.69402027
DB08220,-9.01,15.2203052
DB17557,-9.01,20.20930982
DB18537,-9.01,24.19107628
DB16047,-9,17.92981148
DB13215,-9,22.83250141
DB17560,-9,24.74885726
DB08124,-9,18.46631861
DB08358,-9,15.66895223
DB02519,-9,16.73290682
DB06163,-9,22.2048912
DB07382,-9,14.36372542
DB06997,-8.99,19.80303144
DB12391,-8.99,19.671942
DB04875,-8.99,21.32990241
DB15170,-8.99,18.25933576
DB03082,-8.99,19.15103054
DB03231,-8.99,23.04600668
DB13164,-8.99,21.8086648
DB11775,-8.99,21.28153729
DB09063,-8.99,25.6134758
DB12101,-8.99,19.8287971
DB07630,-8.98,20.64189768
DB07847,-8.98,21.24125195
DB16119,-8.98,21.06322598
DB17832,-8.98,19.97588563
DB04651,-8.98,28.83768415
DB11769,-8.98,17.08958292
DB12345,-8.97,18.90874577
DB18064,-8.97,19.17523146
DB04322,-8.97,20.99160767
DB04421,-8.97,29.40796852
DB04098,-8.97,26.52643847
DB02194,-8.97,19.05387044
DB07252,-8.97,21.25985837
DB00619,-8.96,29.87064242
DB06745,-8.96,17.88424945
DB02010,-8.96,16.17547917
DB04452,-8.96,15.76271725
DB16294,-8.96,24.39963078
DB03944,-8.96,19.92060757
DB12886,-8.96,18.83073664
DB16824,-8.96,15.08090973
DB18478,-8.96,26.85107398
DB12558,-8.96,16.08197308
DB11734,-8.96,19.53521109
DB15075,-8.94,19.87537241
DB14935,-8.94,17.07404256
DB06605,-8.94,22.41698837
DB16279,-8.94,22.49307609
DB08519,-8.94,16.47179604
DB08278,-8.94,20.99187756
DB11663,-8.94,20.44971728
DB09042,-8.93,23.86038041
DB17456,-8.93,21.09252167
DB11984,-8.93,23.42794204
DB15444,-8.93,23.45758438
DB02301,-8.93,20.35711193
DB09143,-8.93,21.84385562
DB18300,-8.93,21.97260118
DB16580,-8.93,18.81519151
DB16650,-8.93,19.49661088
DB08512,-8.93,15.91527414
DB13042,-8.93,18.61237192
DB08882,-8.93,20.91874385
DB12339,-8.93,21.53394699
DB08553,-8.92,17.0804224
DB07360,-8.92,22.61163163
DB11737,-8.92,14.70275331
DB09183,-8.92,20.75250125
DB08827,-8.92,33.17927814
DB11273,-8.92,23.2066958
DB16073,-8.92,19.78781271
DB17384,-8.92,18.49317598
DB07608,-8.91,20.6307497
DB06159,-8.91,16.46580791
DB07794,-8.91,16.29036093
DB02411,-8.91,22.36038947
DB13997,-8.91,25.9835155
DB04125,-8.91,20.64120483
DB05835,-8.91,19.49412036
DB03010,-8.91,19.18908238
DB12010,-8.91,24.88043427
DB11773,-8.91,21.22052622
DB08448,-8.91,19.12951064
DB16124,-8.91,19.53353572
DB17049,-8.91,14.59971023
DB09074,-8.91,25.63773441
DB02009,-8.9,24.25437808
DB14942,-8.9,21.08364034
DB13072,-8.9,16.98161483
DB06590,-8.9,41.77973771
DB15310,-8.9,19.3226223
DB04023,-8.89,30.58713031
DB11753,-8.89,19.5382998
DB07978,-8.89,18.95058966
DB16048,-8.89,21.94908571
DB12285,-8.89,20.26450634
DB04030,-8.88,17.85856342
DB07084,-8.88,13.94828057
DB00276,-8.88,27.21752334
DB16160,-8.88,23.22770929
DB04845,-8.88,18.73794007
DB09534,-8.88,20.54418159
DB12225,-8.88,21.67698264
DB16045,-8.88,23.54323673
DB17105,-8.88,21.15643692
DB18110,-8.88,17.22428393
DB14917,-8.88,20.46084976
DB15456,-8.88,20.6372571
DB12550,-8.88,19.24607706
DB16823,-8.87,19.20855427
DB13640,-8.87,15.53401542
DB13454,-8.87,16.77397418
DB06876,-8.87,18.58116436
DB12895,-8.87,27.8670125
DB12042,-8.87,25.12343907
DB15035,-8.86,18.51914072
DB11274,-8.86,23.54029059
DB01774,-8.86,28.54388428
DB11262,-8.86,22.19969153
DB11912,-8.86,21.45088935
DB15775,-8.86,14.07349896
DB01940,-8.86,21.87546134
DB00583,-8.84,21.67940068
DB13470,-8.84,22.90362763
DB07253,-8.84,18.11266088
DB04626,-8.84,23.62369108
DB02759,-8.84,28.77927947
DB05408,-8.84,22.43586278
DB07528,-8.84,18.85390091
DB15197,-8.84,17.71433616
DB07333,-8.84,21.14758778
DB14822,-8.84,22.19665146
DB12135,-8.84,25.34596658
DB06347,-8.84,25.20894337
DB12108,-8.84,20.24413753
DB12724,-8.84,23.1468904
DB12571,-8.84,18.49783087
DB11830,-8.83,16.49408317
DB08912,-8.83,27.26141334
DB12355,-8.83,20.44741702
DB17499,-8.83,23.5120163
DB11414,-8.83,20.62347031
DB02258,-8.83,16.10203576
DB01410,-8.83,21.77308846
DB11805,-8.83,21.85197473
DB00481,-8.83,29.36699009
DB11740,-8.82,21.91336274
DB12385,-8.82,15.84966946
DB12434,-8.82,23.41387033
DB13078,-8.82,16.74457264
DB12673,-8.82,19.79927516
DB09075,-8.82,28.1621654
DB12096,-8.82,16.57354617
DB12513,-8.82,17.38662624
DB18302,-8.82,21.86386609
DB16628,-8.82,16.04483986
DB14792,-8.82,20.68562698
DB07691,-8.82,23.29728103
DB01879,-8.82,25.00073361
DB08299,-8.82,17.91318774
DB08242,-8.82,16.73112941
DB11759,-8.81,22.92623401
DB07700,-8.81,13.37360263
DB13950,-8.81,24.28286147
DB16262,-8.81,21.55758524
DB15046,-8.81,19.06201434
DB16221,-8.81,16.52537656
DB07689,-8.81,18.92878604
DB04064,-8.81,14.6475842
DB16299,-8.81,21.35301256
DB00650,-8.81,27.84588623
DB01831,-8.81,29.83455324
DB02421,-8.81,26.01047158
DB12420,-8.81,22.60577798
DB12309,-8.81,22.40677261
DB11855,-8.81,24.5868113
DB12805,-8.8,23.56575537
DB12483,-8.8,19.71749663
DB02155,-8.8,23.88870168
DB08221,-8.8,18.20928335
DB07586,-8.8,16.99747181
DB12635,-8.8,17.66274452
DB11399,-8.8,23.8037591
DB15450,-8.8,20.9832623
DB15393,-8.8,18.60062909
DB14918,-8.8,18.87813783
DB14896,-8.8,16.58108473
DB11666,-8.8,19.02339721
DB12044,-8.8,23.31596518
DB11870,-8.8,18.54267359
DB18463,-8.79,20.93944097
DB02259,-8.79,23.95388317
DB14876,-8.79,19.14059615
DB15416,-8.79,21.28771067
DB07261,-8.79,21.62817264
DB04289,-8.79,16.62407708
DB03256,-8.79,20.87681007
DB11800,-8.79,17.96632814
DB13088,-8.79,21.5213778
DB12082,-8.79,16.08366942
